GENENAME,ORG,ENTREZID,REFSEQ,LOG2FC
ABC_transporter,PA,879411,NP_248876.1,-0.038469493
ABC_transporter,PA,883108,NP_248894.1,-0.207717935
ABC_transporter,PA,878380,NP_249014.1,-0.187309066
ABC_transporter,PA,880771,NP_249293.1,0.085172888
ABC_transporter,PA,879023,NP_249295.1,0.038833821
ABC_transporter,PA,879321,NP_250033.1,0.224284051
ABC_transporter,PA,880658,NP_250501.1,0.007856056
ABC_transporter,PA,878515,NP_250748.1,0.048694384
ABC_transporter,PA,877884,NP_250894.1,-0.101873641
ABC_transporter,PA,878805,NP_252578.1,-0.020607108
ABC_transporter,PA,880469,NP_252884.1,-0.291695098
ABC_transporter,PA,881067,NP_253186.1,0.034090573
ABC_transporter,PA,881082,NP_253187.1,-0.229347601
ABC_transporter,PA,881062,NP_253190.1,0.175296926
ABC_transporter,PA,881096,NP_253192.1,-0.014762193
ABC_transporter,PA,878522,NP_253600.1,0.059624801
ABC_transporter,PA,879765,NP_253763.1,-0.060841748
ABC_transporter,PA,880087,NP_253769.1,0.008900125
ABC_transporter,PA,879515,NP_253783.1,-0.024953277
ABC_transporter,PA,878396,NP_248763.1,-0.10293278
ABC_transporter,PA,879471,NP_248826.1,0.298966987
ABC_transporter,PA,882170,NP_248874.1,-0.003602468
ABC_transporter,PA,880297,NP_249017.1,-0.060973334
ABC_transporter,PA,880619,NP_249294.1,0.06901323
ABC_transporter,PA,879352,NP_250077.1,-0.050249108
ABC_transporter,PA,881746,NP_250116.1,-0.085248346
ABC_transporter,PA,878351,NP_250498.1,0.003718949
ABC_transporter,PA,877832,NP_250751.1,-0.038839083
ABC_transporter,PA,877955,NP_250984.1,-0.206215131
ABC_transporter,PA,879423,NP_250998.1,0.275357959
ABC_transporter,PA,883116,NP_251019.1,0.086056163
ABC_transporter,PA,879637,NP_251098.1,0.172422386
ABC_transporter,PA,880277,NP_251502.1,-0.179267111
ABC_transporter,PA,880445,NP_251547.1,0.130542552
ABC_transporter,PA,882592,NP_251602.1,-0.049916869
ABC_transporter,PA,878861,NP_251709.1,0.072257577
ABC_transporter,PA,880539,NP_251877.1,-0.163995647
ABC_transporter,PA,882551,NP_251902.1,-0.029144279
ABC_transporter,PA,882417,NP_251944.1,-0.048960114
ABC_transporter,PA,879947,NP_252065.1,-0.092304993
ABC_transporter,PA,879616,NP_252137.1,0.046428638
ABC_transporter,PA,879967,NP_252204.1,-0.27424162
ABC_transporter,PA,879008,NP_252228.1,-0.056465217
ABC_transporter,PA,880590,NP_252362.1,-0.040999534
ABC_transporter,PA,879859,NP_252527.1,0.006645677
ABC_transporter,PA,878813,NP_252580.1,-0.119039195
ABC_transporter,PA,879032,NP_252726.1,-0.168747373
ABC_transporter,PA,878673,NP_252753.1,-0.155293677
ABC_transporter,PA,880274,NP_252881.1,-0.078732607
ABC_transporter,PA,880073,NP_252912.1,0.207688767
ABC_transporter,PA,880074,NP_252913.1,0.0202435
ABC_transporter,PA,881000,NP_253146.1,0.068865464
ABC_transporter,PA,881018,NP_253151.1,-0.210259195
ABC_transporter,PA,881158,NP_253195.1,0.098168493
ABC_transporter,PA,881053,NP_253284.1,-0.037417633
ABC_transporter,PA,881059,NP_253285.1,0.145568472
ABC_transporter,PA,877937,NP_253548.1,0.112499631
ABC_transporter,PA,877938,NP_253549.1,-0.00462301
ABC_transporter,PA,879735,NP_253596.1,-0.038466487
ABC_transporter,PA,878157,NP_253597.1,-0.291093419
ABC_transporter,PA,881153,NP_253761.1,-0.202791652
ABC_transporter,PA,878341,NP_253781.1,-0.093479097
ABC_transporter,PA,879975,NP_253839.1,-0.104607064
ABC_transporter,PA,880736,NP_253939.1,-0.062233697
ABC_transporter,PA,880284,NP_254063.1,0.006646434
ABC_transporter,PA,877864,NP_254190.1,0.083596236
ABC_transporter,PA,882151,NP_249551.1,-0.011296025
ABC_transporter,PA,882144,NP_249804.1,-0.041608034
ABC_transporter,PA,882231,NP_250567.1,0.440914214
ABC_transporter,PA,882399,NP_251918.1,0.008373162
ABC_transporter,PA,880797,NP_253918.1,0.156942198
ABC_transporter,PA,879286,NP_248827.1,0.095018684
ABC_transporter,PA,879399,NP_248828.1,0.136221723
ABC_transporter,PA,879256,NP_248875.1,0.197725507
ABC_transporter,PA,878513,NP_248895.1,-0.039300507
ABC_transporter,PA,879480,NP_248896.1,0.052360764
ABC_transporter,PA,879407,NP_249015.1,-0.094219886
ABC_transporter,PA,879238,NP_249016.1,-0.10548077
ABC_transporter,PA,878376,NP_249296.1,-0.173374196
ABC_transporter,PA,880768,NP_249297.1,-0.250715637
ABC_transporter,PA,881324,NP_249949.1,-0.147457611
ABC_transporter,PA,881977,NP_250499.1,-0.151350897
ABC_transporter,PA,878361,NP_250500.1,-0.149042068
ABC_transporter,PA,877721,NP_250749.1,-0.101466366
ABC_transporter,PA,877849,NP_250750.1,0.026763792
ABC_transporter,PA,879766,NP_250985.1,-0.118960796
ABC_transporter,PA,880804,NP_250997.1,0.118910855
ABC_transporter,PA,883075,NP_251017.1,0.232079245
ABC_transporter,PA,881932,NP_251041.1,-0.092444902
ABC_transporter,PA,879638,NP_251099.1,0.037849525
ABC_transporter,PA,882387,NP_251368.1,-0.202641234
ABC_transporter,PA,880412,NP_251501.1,-0.114115307
ABC_transporter,PA,882646,NP_251604.1,-0.002871231
ABC_transporter,PA,882550,NP_251901.1,-0.107992352
ABC_transporter,PA,882415,NP_251942.1,-0.391800078
ABC_transporter,PA,882416,NP_251943.1,-0.122139049
ABC_transporter,PA,882481,NP_252006.1,0.078642763
ABC_transporter,PA,879101,NP_252133.1,-0.10693408
ABC_transporter,PA,879113,NP_252138.1,0.074897538
ABC_transporter,PA,879161,NP_252202.1,-0.001624764
ABC_transporter,PA,879769,NP_252361.1,-0.030020981
ABC_transporter,PA,879812,NP_252526.1,-0.030809008
ABC_transporter,PA,878804,NP_252577.1,-0.034665272
ABC_transporter,PA,878812,NP_252579.1,-0.003820885
ABC_transporter,PA,880355,NP_252882.1,-0.355759141
ABC_transporter,PA,880356,NP_252883.1,-0.07980889
ABC_transporter,PA,881008,NP_253145.1,0.044815052
ABC_transporter,PA,881080,NP_253193.1,0.109725601
ABC_transporter,PA,881081,NP_253194.1,-0.029768218
ABC_transporter,PA,881052,NP_253283.1,0.068903931
ABC_transporter,PA,881537,NP_253395.1,-0.040166612
ABC_transporter,PA,880868,NP_253546.2,0.096778642
ABC_transporter,PA,880869,NP_253547.1,0.091985517
ABC_transporter,PA,879764,NP_253762.1,-0.103815615
ABC_transporter,PA,879514,NP_253782.1,0.188518602
ABC_transporter,PA,879970,NP_253841.1,0.002117768
ABC_transporter,PA,880796,NP_253917.1,0.070717974
ABC_transporter,PA,878443,NP_254064.1,-0.006774554
cytochrome,PA,882109,NP_250547.1,-0.046220105
cytochrome,PA,880051,NP_252822.1,-0.127532153
cytochrome,PA,877792,NP_254178.1,-0.002603548
cytochrome,PA,880944,NP_253120.1,0.025740609
cytochrome,PA,878803,NP_249609.1,0.106819428
cytochrome,PA,881945,NP_250291.1,-0.088947286
cytochrome,PA,879571,NP_250956.1,-0.082607976
cytochrome,PA,879889,NP_251172.1,-0.083749028
cytochrome,PA,880955,NP_253261.1,0.359036124
cytochrome,PA,881146,NP_253309.1,-0.242822372
cytochrome,PA,882009,NP_248797.1,-0.120742975
cytochrome,PA,882206,NP_249212.1,-0.076256746
cytochrome,PA,881210,NP_253119.1,0.214947367
cytochrome,PA,879833,NP_251165.1,0.104974271
cytochrome,PA,882496,NP_252021.1,-0.102422275
cytochrome,PA,878251,NP_254015.1,-0.08586034
DNA_polymerase,PA,882393,NP_251922.1,-0.129905413
DNA_polymerase,PA,880686,NP_249360.3,-0.004573471
efflux_transporter,PA,882687,NP_251600.1,-0.178787107
efflux_transporter,PA,878839,NP_250709.1,0.229515684
efflux_transporter,PA,878882,NP_250708.1,0.048421814
efflux_transporter,PA,881377,NP_253065.1,-0.413009141
efflux_transporter,PA,880556,NP_253981.1,0.15392307
efflux_transporter,PA,881203,NP_249929.1,-0.003427041
efflux_transporter,PA,883069,NP_250231.1,-0.01107986
efflux_transporter,PA,881184,NP_249928.1,-0.175375464
efflux_transporter,PA,881258,NP_253709.1,-0.218333179
efflux_transporter,PA,877919,NP_254205.1,0.121130656
efflux_transporter,PA,882149,NP_248846.1,0.124362774
efflux_transporter,PA,882134,NP_248847.1,0.115310161
efflux_transporter,PA,881806,NP_250126.1,-0.164462928
efflux_transporter,PA,882937,NP_251218.1,-0.330168612
efflux_transporter,PA,879790,NP_252213.1,-0.147007807
efflux_transporter,PA,879603,NP_252367.1,0.103089223
efflux_transporter,PA,881374,NP_253064.1,0.032532193
efflux_transporter,PA,882140,NP_248848.1,0.088564656
efflux_transporter,PA,881815,NP_250127.1,-0.175552088
efflux_transporter,PA,882888,NP_251216.1,-0.156606985
efflux_transporter,PA,882889,NP_251217.1,-0.183097682
efflux_transporter,PA,878906,NP_252212.1,-0.132296101
efflux_transporter,PA,879602,NP_252366.1,-0.006230279
electron_transfer,PA,882142,NP_254087.2,-0.021877344
electron_transfer,PA,880159,NP_251643.1,0.018347891
electron_transfer,PA,879985,NP_252179.1,-0.032290488
electron_transfer,PA,879986,NP_252180.1,0.060032921
electron_transfer,PA,879869,NP_252181.1,-0.128151568
